日期,單位名稱,買進金額,賣出金額,買賣差額
2024-03-25,自營商(自行買賣),"4,852,857,469","4,045,648,327","807,209,142"
2024-03-25,合計,"124,622,157,734","130,242,819,863","-5,620,662,129"
2024-03-26,投信,"13,002,655,815","7,347,480,192","5,655,175,623"
2024-03-26,合計,"185,780,643,568","191,645,265,328","-5,864,621,760"
2024-03-26,自營商(避險),"13,635,279,016","18,404,186,425","-4,768,907,409"
2024-03-26,自營商(自行買賣),"6,194,559,492","7,520,109,747","-1,325,550,255"
2024-03-26,外資自營商,"421,780","6,300","415,480"
2024-03-26,外資及陸資(不含外資自營商),"152,948,149,245","158,373,488,964","-5,425,339,719"
2024-03-27,合計,"147,345,917,196","143,853,747,184","3,492,170,012"
2024-03-27,外資及陸資(不含外資自營商),"111,561,139,734","118,452,506,181","-6,891,366,447"
2024-03-27,投信,"16,881,158,493","8,174,135,110","8,707,023,383"
2024-03-27,自營商(自行買賣),"5,417,765,651","4,954,352,165","463,413,486"
2024-03-27,自營商(避險),"13,485,853,318","12,272,753,728","1,213,099,590"
2024-03-27,外資自營商,"303,200",980,"302,220"
2024-03-28,外資自營商,"851,170","44,750","806,420"
2024-03-28,合計,"180,270,811,767","180,443,661,420","-172,849,653"
2024-03-28,外資及陸資(不含外資自營商),"127,707,691,237","151,470,887,596","-23,763,196,359"
2024-03-28,投信,"30,474,373,568","6,623,776,958","23,850,596,610"
2024-03-28,自營商(自行買賣),"6,597,200,773","6,227,295,829","369,904,944"
2024-03-28,自營商(避險),"15,491,546,189","16,121,701,037","-630,154,848"
2024-03-29,自營商(自行買賣),"5,290,018,565","9,054,997,538","-3,764,978,973"
2024-03-29,外資及陸資(不含外資自營商),"128,104,245,058","127,702,240,649","402,004,409"
2024-03-29,合計,"214,676,375,095","160,459,606,191","54,216,768,904"
2024-03-29,投信,"67,412,629,649","7,468,282,728","59,944,346,921"
2024-03-29,自營商(避險),"13,869,481,823","16,234,085,276","-2,364,603,453"
2024-03-29,外資自營商,"1,496,090",0,"1,496,090"
2024-04-01,自營商(避險),"11,444,367,339","17,443,841,113","-5,999,473,774"
2024-04-01,外資自營商,"21,400","97,300","-75,900"
2024-04-01,合計,"125,621,088,400","128,438,858,586","-2,817,770,186"
2024-04-01,自營商(自行買賣),"7,380,025,118","4,080,583,672","3,299,441,446"
2024-04-01,外資及陸資(不含外資自營商),"97,995,506,889","100,617,589,153","-2,622,082,264"
2024-04-01,投信,"8,801,189,054","6,296,844,648","2,504,344,406"
2024-04-02,自營商(避險),"12,494,505,197","15,133,545,710","-2,639,040,513"
2024-04-02,合計,"156,978,481,149","146,494,461,701","10,484,019,448"
2024-04-02,投信,"10,182,376,747","5,115,134,998","5,067,241,749"
2024-04-02,自營商(自行買賣),"5,913,440,490","4,962,965,833","950,474,657"
2024-04-02,外資自營商,0,0,0
2024-04-02,外資及陸資(不含外資自營商),"128,388,158,715","121,282,815,160","7,105,343,555"
2024-04-03,自營商(自行買賣),"5,128,135,848","3,196,040,878","1,932,094,970"
2024-04-03,自營商(避險),"10,815,256,892","15,003,688,191","-4,188,431,299"
2024-04-03,合計,"142,205,175,008","159,932,054,877","-17,726,879,869"
2024-04-03,投信,"7,424,344,357","4,705,777,850","2,718,566,507"
2024-04-03,外資及陸資(不含外資自營商),"118,837,437,911","137,026,547,958","-18,189,110,047"
2024-04-03,外資自營商,"12,000",0,"12,000"
2024-04-08,自營商(自行買賣),"6,814,244,227","5,378,201,861","1,436,042,366"
2024-04-08,自營商(避險),"11,593,838,176","14,873,197,385","-3,279,359,209"
2024-04-08,外資自營商,"72,100",0,"72,100"
2024-04-08,外資及陸資(不含外資自營商),"140,950,137,982","153,317,072,633","-12,366,934,651"
2024-04-08,合計,"166,296,468,735","177,254,116,414","-10,957,647,679"
2024-04-08,投信,"6,938,248,350","3,685,644,535","3,252,603,815"
